Date,Close,Delta
1/13/2014,807.83,-84.02
1/15/2014,847.7,39.87
1/17/2014,793,-54.7
1/19/2014,833,40
1/21/2014,822.56,-10.44
1/23/2014,813.02,-9.54
1/25/2014,806,-7.02
1/27/2014,777,-29
1/29/2014,803.6,26.6
1/31/2014,802.5,-1.1
2/2/2014,819.57,17.07
2/4/2014,809.05,-10.52
2/6/2014,778,-31.05
2/8/2014,707,-71
2/10/2014,665,-42
2/12/2014,667.01,2.01
2/14/2014,672.1,5.09
2/16/2014,623.5,-48.6
2/18/2014,626.77,3.27
2/20/2014,582.7,-44.07
2/22/2014,603.98,21.28
2/24/2014,545,-58.98
2/26/2014,585.38,40.38
2/28/2014,577.97,-7.41
3/2/2014,559.88,-18.09
3/4/2014,677.61,117.73
3/6/2014,657.02,-20.59
3/8/2014,609,-48.02
3/10/2014,621.99,12.99
3/12/2014,642.1,20.11
3/14/2014,636.47,-5.63
3/16/2014,634.94,-1.53
3/18/2014,627,-7.94
3/20/2014,590,-37
3/22/2014,557,-33
3/24/2014,572,15
3/26/2014,585.7,13.7
3/28/2014,503,-82.7
3/30/2014,449.02,-53.98
4/1/2014,479.51,30.49
4/3/2014,446.31,-33.2
4/5/2014,451.84,5.53
4/7/2014,447.74,-4.1
4/9/2014,443.1,-4.64
4/11/2014,427.99,-15.11
4/13/2014,405,-22.99
4/15/2014,489.91,84.91
4/17/2014,495,5.09
4/19/2014,499.9,4.9
4/21/2014,496.5,-3.4
4/23/2014,487.3,-9.2
4/25/2014,459.15,-28.15
4/27/2014,440.1,-19.05
4/29/2014,447.7,7.6
5/1/2014,460.01,12.31
5/3/2014,434.5,-25.51
5/5/2014,427.83,-6.67
5/7/2014,446.65,18.82
5/9/2014,452.02,5.37
5/11/2014,435,-17.02
5/13/2014,438.95,3.95
5/15/2014,448.99,10.04
5/17/2014,449.08,0.09
5/19/2014,446.42,-2.66
5/21/2014,494.87,48.45
5/23/2014,527.47,32.6
5/25/2014,575,47.53
5/27/2014,581.87,6.87
5/29/2014,568,-13.87
5/31/2014,620.45,52.45
6/2/2014,631.49,11.04
6/4/2014,644.66,13.17
6/6/2014,655.75,11.09
6/8/2014,652,-3.75
6/10/2014,649.89,-2.11
6/12/2014,617,-32.89
6/14/2014,557.92,-59.08
6/16/2014,595,37.08
6/18/2014,604.6,9.6
6/20/2014,593.33,-11.27
6/22/2014,596.08,2.75
6/24/2014,585.54,-10.54
6/26/2014,569,-16.54
6/28/2014,597.08,28.08
6/30/2014,620,22.92
7/2/2014,654,34
7/4/2014,635.49,-18.51
7/6/2014,634.49,-1
7/8/2014,623.7,-10.79
7/10/2014,619.78,-3.92
7/12/2014,631.98,12.2
7/14/2014,622.8,-9.18
7/16/2014,619.48,-3.32
7/18/2014,629.86,10.38
7/20/2014,623.77,-6.09
7/22/2014,621.03,-2.74
7/24/2014,601.18,-19.85
7/26/2014,595.88,-5.3
7/28/2014,586.96,-8.92
7/30/2014,573.48,-13.48
8/1/2014,601.94,28.46
8/3/2014,589.79,-12.15
8/5/2014,580.21,-9.58
8/7/2014,587.24,7.03
8/9/2014,588.61,1.37
8/11/2014,578.97,-9.64
8/13/2014,550.14,-28.83
8/15/2014,498.16,-51.98
8/17/2014,491.88,-6.28
8/19/2014,487.5,-4.38
8/21/2014,525.78,38.28
8/23/2014,503.88,-21.9
8/25/2014,503.79,-0.09
8/27/2014,514.84,11.05
8/29/2014,511.99,-2.85
8/31/2014,477.98,-34.01
9/2/2014,483.65,5.67
9/4/2014,486,2.35
9/6/2014,481.09,-4.91
9/8/2014,476.61,-4.48
9/10/2014,485.03,8.42
9/12/2014,470.43,-14.6
9/14/2014,475.49,5.06
9/16/2014,468,-7.49
9/18/2014,428.19,-39.81
9/20/2014,415.56,-12.63
9/22/2014,400.98,-14.58
9/24/2014,431.91,30.93
9/26/2014,405.14,-26.77
9/28/2014,380,-25.14
9/30/2014,382.67,2.67
10/2/2014,375.85,-6.82
10/4/2014,336,-39.85
10/6/2014,331.2,-4.8
10/8/2014,346.26,15.06
10/10/2014,358.97,12.71
10/12/2014,364.83,5.86
10/14/2014,411.89,47.06
10/16/2014,378.02,-33.87
10/18/2014,389.68,11.66
10/20/2014,384.95,-4.73
10/22/2014,385.1,0.15
10/24/2014,358.46,-26.64
10/26/2014,355.43,-3.03
10/28/2014,354.94,-0.49
10/30/2014,337,-17.94
11/1/2014,327.39,-9.61
11/3/2014,325.81,-1.58
11/5/2014,341.99,16.18
11/7/2014,342.26,0.27
11/9/2014,356.34,14.08
11/11/2014,365.04,8.7
11/13/2014,406.56,41.52
11/15/2014,373.14,-33.42
11/17/2014,378.48,5.34
11/19/2014,374.77,-3.71
11/21/2014,356.9,-17.87
11/23/2014,362.99,6.09
11/25/2014,381.03,18.04
11/27/2014,372.62,-8.41
11/29/2014,377.22,4.6
12/1/2014,381.72,4.5
12/3/2014,378.25,-3.47
12/5/2014,373.98,-4.27
12/7/2014,375.73,1.75
12/9/2014,350.29,-25.44
12/11/2014,356.1,5.81
12/13/2014,350.31,-5.79
12/15/2014,352.15,1.84
12/17/2014,318.2,-33.95
12/19/2014,317.63,-0.57
12/21/2014,326.93,9.3
12/23/2014,336.96,10.03
12/25/2014,319.31,-17.65
12/27/2014,314.45,-4.86
12/29/2014,314.49,0.04
12/31/2014,317.4,2.91
1/2/2015,316.15,-1.25
